date,store_id,product_id,category,mrp,discount_pct,net_sales,units_sold,promo_flag
2023-07-03,S001,P047,Personal Care,362.37,5,688.5,2,1
2023-07-03,S001,P050,Medical Devices,233.74,10,1051.83,5,1
2023-07-03,S002,P031,OTC,55.58,5,264.0,5,1
2023-07-03,S002,P002,Wellness,444.76,15,2646.32,7,1
2023-07-03,S002,P001,Personal Care,497.95,15,1693.03,4,1
2023-07-03,S002,P017,Medical Devices,286.36,0,859.08,3,0
2023-07-03,S002,P039,Wellness,459.8,5,1310.43,3,1
2023-07-03,S002,P005,Medical Devices,334.09,5,1269.54,4,1
2023-07-03,S002,P042,Medical Devices,486.84,0,2921.04,6,0
2023-07-03,S002,P032,Medical Devices,262.62,0,1050.48,4,0
2023-07-03,S003,P042,Medical Devices,423.31,0,2539.86,6,0
2023-07-03,S003,P006,Wellness,455.14,5,3459.06,8,1
2023-07-03,S003,P028,OTC,325.66,15,830.43,3,1
2023-07-03,S003,P015,Prescription,55.27,5,157.52,3,1
2023-07-03,S003,P010,Medical Devices,413.61,0,2068.05,5,0
2023-07-03,S003,P022,Medical Devices,173.92,0,1565.28,9,0
2023-07-03,S003,P002,OTC,62.34,0,249.36,4,0
2023-07-03,S003,P004,OTC,205.64,0,616.92,3,0
2023-07-03,S004,P045,OTC,223.48,0,1564.36,7,0
2023-07-03,S004,P028,Medical Devices,137.58,0,825.48,6,0
2023-07-03,S004,P017,Personal Care,117.73,15,600.42,6,1
2023-07-03,S004,P016,Medical Devices,116.59,15,594.61,6,1
2023-07-03,S004,P037,Medical Devices,385.64,5,1099.07,3,1
2023-07-03,S004,P013,OTC,477.1,5,1812.98,4,1
2023-07-03,S004,P029,Personal Care,141.45,10,1400.36,11,1
2023-07-03,S004,P041,OTC,76.76,0,307.04,4,0
2023-07-03,S005,P011,Wellness,233.2,0,932.8,4,0
2023-07-03,S005,P041,Medical Devices,95.42,15,405.54,5,1
2023-07-03,S005,P036,Prescription,231.29,0,1387.74,6,0
2023-07-03,S005,P006,Medical Devices,429.0,5,815.1,2,1
2023-07-03,S005,P039,Personal Care,341.52,0,1707.6,5,0
2023-07-03,S005,P035,Prescription,158.87,10,857.9,6,1
2023-07-03,S005,P038,Prescription,110.22,10,297.59,3,1
2023-07-03,S005,P028,Prescription,402.36,10,2172.74,6,1
2023-07-03,S006,P041,Medical Devices,274.36,0,1371.8,5,0
2023-07-03,S006,P032,OTC,133.71,5,1016.2,8,1
2023-07-03,S006,P002,OTC,111.47,10,702.26,7,1
2023-07-03,S006,P037,Personal Care,350.09,15,1487.88,5,1
2023-07-03,S006,P016,Prescription,58.7,0,293.5,5,0
2023-07-03,S006,P007,Personal Care,444.94,0,2224.7,5,0
2023-07-03,S006,P003,Wellness,106.5,0,426.0,4,0
2023-07-03,S006,P031,Medical Devices,203.81,10,1467.43,8,1
2023-07-03,S007,P002,Wellness,201.8,10,1089.72,6,1
2023-07-03,S007,P006,OTC,481.07,5,1371.05,3,1
2023-07-03,S007,P001,Prescription,296.09,0,2368.72,8,0
2023-07-03,S007,P044,Wellness,346.6,0,2079.6,6,0
2023-07-03,S007,P021,Prescription,317.1,0,3171.0,10,0
2023-07-03,S007,P016,Wellness,161.3,10,725.85,5,1
2023-07-03,S007,P030,Prescription,402.99,0,1611.96,4,0
2023-07-03,S007,P036,Personal Care,164.22,0,328.44,2,0
2023-07-03,S008,P023,Personal Care,242.38,0,2181.42,9,0
2023-07-03,S008,P033,Medical Devices,316.01,0,948.03,3,0
2023-07-03,S008,P041,Wellness,182.86,15,466.29,3,1
2023-07-03,S008,P042,Wellness,362.13,10,1629.58,5,1
2023-07-03,S008,P044,Medical Devices,226.32,5,860.02,4,1
2023-07-03,S008,P016,Medical Devices,186.77,0,0.0,0,0
2023-07-03,S008,P012,Wellness,485.08,0,3880.64,8,0
2023-07-03,S008,P015,Personal Care,499.79,5,1899.2,4,1
2023-07-03,S009,P028,Wellness,403.79,10,1090.23,3,1
2023-07-03,S009,P020,Prescription,327.16,15,1390.43,5,1
2023-07-03,S009,P043,Medical Devices,277.16,10,1247.22,5,1
2023-07-03,S009,P023,Prescription,413.96,10,1490.26,4,1
2023-07-03,S009,P018,Personal Care,432.81,20,1038.74,3,1
2023-07-03,S009,P012,Wellness,179.43,0,897.15,5,0
2023-07-03,S009,P040,Personal Care,210.13,0,630.39,3,0
2023-07-03,S009,P036,Wellness,491.92,10,3984.55,9,1
2023-07-03,S010,P008,Personal Care,171.99,5,1143.73,7,1
2023-07-03,S010,P004,Wellness,365.51,10,328.96,1,1
2023-07-03,S010,P019,Wellness,471.32,5,3134.28,7,1
2023-07-03,S010,P013,Personal Care,245.11,0,1470.66,6,0
2023-07-03,S010,P001,Wellness,325.98,10,880.15,3,1
2023-07-03,S010,P043,Wellness,56.19,0,168.57,3,0
2023-07-03,S010,P038,Medical Devices,241.15,0,1688.05,7,0
2023-07-03,S010,P033,Personal Care,327.55,10,1473.98,5,1
2023-07-04,S001,P012,Wellness,250.79,15,426.34,2,1
2023-07-04,S001,P043,Prescription,291.0,0,2328.0,8,0
2023-07-04,S001,P029,OTC,193.37,20,928.18,6,1
2023-07-04,S001,P019,Personal Care,236.53,0,1419.18,6,0
2023-07-04,S001,P008,Medical Devices,373.43,10,1008.26,3,1
2023-07-04,S001,P010,Personal Care,379.59,15,967.95,3,1
2023-07-04,S001,P023,Prescription,323.49,0,646.98,2,0
2023-07-04,S001,P016,Wellness,307.36,20,1721.22,7,1
2023-07-04,S002,P008,Prescription,80.14,15,340.6,5,1
2023-07-04,S002,P020,Prescription,281.02,20,674.45,3,1
2023-07-04,S002,P031,Personal Care,207.73,0,830.92,4,0
2023-07-04,S002,P004,Personal Care,468.18,0,2340.9,5,0
2023-07-04,S002,P037,OTC,311.46,5,1479.44,5,1
2023-07-04,S002,P006,Personal Care,329.21,10,2074.02,7,1
2023-07-04,S002,P038,Wellness,433.66,5,2471.86,6,1
2023-07-04,S002,P010,Medical Devices,146.71,5,418.12,3,1
2023-07-04,S003,P011,Medical Devices,246.39,10,2217.51,10,1
2023-07-04,S003,P029,Personal Care,158.67,0,317.34,2,0
2023-07-04,S003,P036,Personal Care,432.13,5,410.52,1,1
2023-07-04,S003,P024,Medical Devices,154.41,0,926.46,6,0
2023-07-04,S003,P016,Medical Devices,438.99,5,3336.32,8,1
2023-07-04,S003,P009,Prescription,203.86,5,1355.67,7,1
2023-07-04,S003,P050,Personal Care,424.77,0,1699.08,4,0
2023-07-04,S003,P034,Personal Care,363.71,10,1309.36,4,1
2023-07-04,S004,P044,OTC,330.18,20,1056.58,4,1
2023-07-04,S004,P027,Wellness,417.64,15,1064.98,3,1
2023-07-04,S004,P036,Wellness,125.65,5,238.74,2,1
2023-07-04,S004,P009,Medical Devices,288.45,20,461.52,2,1
2023-07-04,S004,P037,Personal Care,196.81,0,590.43,3,0
2023-07-04,S004,P001,Medical Devices,186.12,20,744.48,5,1
2023-07-04,S004,P010,Prescription,423.19,10,1904.36,5,1
2023-07-04,S004,P025,Wellness,173.14,5,657.93,4,1
2023-07-04,S005,P029,Wellness,486.61,20,1557.15,4,1
2023-07-04,S005,P014,Personal Care,148.42,0,890.52,6,0
2023-07-04,S005,P037,Personal Care,472.5,15,2008.12,5,1
2023-07-04,S005,P002,Medical Devices,443.33,0,443.33,1,0
2023-07-04,S005,P023,Prescription,406.67,10,1464.01,4,1
2023-07-04,S005,P039,Prescription,156.69,20,626.76,5,1
2023-07-04,S005,P010,Wellness,392.26,0,2745.82,7,0
2023-07-04,S005,P031,Medical Devices,393.3,0,1966.5,5,0
2023-07-04,S006,P004,Personal Care,336.69,5,1919.13,6,1
2023-07-04,S006,P038,OTC,176.73,20,282.77,2,1
2023-07-04,S006,P002,Wellness,495.55,0,1486.65,3,0
2023-07-04,S006,P023,Prescription,496.26,5,2357.24,5,1
2023-07-04,S006,P041,Wellness,172.83,0,518.49,3,0
2023-07-04,S006,P026,Prescription,457.14,10,1234.28,3,1
2023-07-04,S006,P031,Personal Care,75.02,0,525.14,7,0
2023-07-04,S006,P022,OTC,248.03,10,1339.36,6,1
2023-07-04,S007,P016,Medical Devices,305.59,0,2139.13,7,0
2023-07-04,S007,P012,Wellness,62.26,5,414.03,7,1
2023-07-04,S007,P007,Personal Care,207.87,0,623.61,3,0
2023-07-04,S007,P048,OTC,211.25,20,676.0,4,1
2023-07-04,S007,P036,Medical Devices,256.61,0,1283.05,5,0
2023-07-04,S007,P040,Medical Devices,190.31,0,1141.86,6,0
2023-07-04,S007,P014,Personal Care,398.11,0,1990.55,5,0
2023-07-04,S007,P039,Medical Devices,247.18,15,1260.62,6,1
2023-07-04,S008,P034,Prescription,429.9,5,1633.62,4,1
2023-07-04,S008,P023,Personal Care,422.82,10,2283.23,6,1
2023-07-04,S008,P001,OTC,230.1,10,621.27,3,1
2023-07-04,S008,P030,OTC,243.94,0,731.82,3,0
2023-07-04,S008,P045,Wellness,295.91,5,1405.57,5,1
2023-07-04,S008,P022,Prescription,203.25,15,345.52,2,1
2023-07-04,S008,P014,Prescription,155.22,0,1086.54,7,0
2023-07-04,S008,P036,Personal Care,239.0,0,1912.0,8,0
2023-07-04,S009,P038,Wellness,233.47,0,1167.35,5,0
2023-07-04,S009,P050,Medical Devices,205.17,0,410.34,2,0
2023-07-04,S009,P001,Wellness,352.57,15,1798.11,6,1
2023-07-04,S009,P006,Medical Devices,495.39,0,1486.17,3,0
2023-07-04,S009,P009,Personal Care,310.01,15,1317.54,5,1
2023-07-04,S009,P020,OTC,275.32,10,495.58,2,1
2023-07-04,S009,P037,Personal Care,300.29,10,540.52,2,1
2023-07-04,S009,P047,OTC,271.5,0,1629.0,6,0
2023-07-04,S010,P035,Personal Care,296.67,0,1483.35,5,0
2023-07-04,S010,P007,Medical Devices,61.11,0,305.55,5,0
2023-07-04,S010,P006,Wellness,496.15,10,4018.81,9,1
2023-07-04,S010,P044,Medical Devices,347.83,10,939.14,3,1
2023-07-04,S010,P004,Medical Devices,426.77,0,2560.62,6,0
2023-07-04,S010,P019,Personal Care,184.45,15,156.78,1,1
2023-07-04,S010,P029,Wellness,164.52,0,987.12,6,0
2023-07-04,S010,P047,Prescription,323.21,0,969.63,3,0
2023-07-05,S001,P018,Wellness,297.97,5,1981.5,7,1
2023-07-05,S001,P028,Personal Care,337.0,15,859.35,3,1
2023-07-05,S001,P014,OTC,326.14,15,1940.53,7,1
2023-07-05,S001,P036,Wellness,211.38,20,169.1,1,1
2023-07-05,S001,P010,OTC,488.83,15,3324.04,8,1
2023-07-05,S001,P025,Prescription,313.04,20,751.3,3,1
2023-07-05,S001,P032,Personal Care,346.15,20,1107.68,4,1
2023-07-05,S001,P037,Personal Care,50.08,10,270.43,6,1
2023-07-05,S002,P028,Prescription,188.14,0,1316.98,7,0
2023-07-05,S002,P013,Prescription,311.29,20,996.13,4,1
2023-07-05,S002,P031,OTC,443.24,0,1772.96,4,0
2023-07-05,S002,P002,Wellness,74.55,5,283.29,4,1
2023-07-05,S002,P023,Prescription,248.52,0,745.56,3,0
2023-07-05,S002,P006,Prescription,402.98,5,2679.82,7,1
2023-07-05,S002,P021,Medical Devices,321.96,10,869.29,3,1
2023-07-05,S002,P012,Medical Devices,55.55,0,444.4,8,0
2023-07-05,S003,P020,Prescription,352.58,0,1057.74,3,0
2023-07-05,S003,P019,Wellness,310.83,0,1554.15,5,0
2023-07-05,S003,P027,Medical Devices,156.62,0,939.72,6,0
2023-07-05,S003,P044,Prescription,332.49,10,2693.17,9,1
2023-07-05,S003,P038,Personal Care,200.39,10,1082.11,6,1
2023-07-05,S003,P002,Prescription,343.52,5,2284.41,7,1
2023-07-05,S003,P028,Medical Devices,245.32,0,1717.24,7,0
2023-07-05,S003,P041,OTC,345.16,0,690.32,2,0
2023-07-05,S004,P037,OTC,60.15,15,460.15,9,1
2023-07-05,S004,P012,Wellness,405.81,0,2029.05,5,0
2023-07-05,S004,P043,Prescription,397.7,10,715.86,2,1
2023-07-05,S004,P010,Wellness,342.22,10,923.99,3,1
2023-07-05,S004,P049,Wellness,368.16,10,1656.72,5,1
2023-07-05,S004,P016,OTC,445.89,0,1783.56,4,0
2023-07-05,S004,P015,Medical Devices,144.26,5,411.14,3,1
2023-07-05,S004,P004,Wellness,144.36,20,923.9,8,1
2023-07-05,S005,P036,Prescription,173.16,20,415.58,3,1
2023-07-05,S005,P046,Personal Care,279.76,0,1678.56,6,0
2023-07-05,S005,P010,Personal Care,415.38,20,1993.82,6,1
2023-07-05,S005,P032,Personal Care,337.26,0,1349.04,4,0
2023-07-05,S005,P041,Personal Care,426.4,5,3240.64,8,1
2023-07-05,S005,P038,Wellness,260.96,10,704.59,3,1
2023-07-05,S005,P001,Prescription,233.5,15,793.9,4,1
2023-07-05,S005,P040,Personal Care,333.33,15,1699.98,6,1
2023-07-05,S006,P010,OTC,238.41,0,0.0,0,0
2023-07-05,S006,P013,Wellness,280.84,0,2246.72,8,0
2023-07-05,S006,P012,Personal Care,218.67,10,393.61,2,1
2023-07-05,S006,P042,Prescription,74.22,0,222.66,3,0
2023-07-05,S006,P033,Medical Devices,358.93,15,1525.45,5,1
2023-07-05,S006,P026,Prescription,494.1,10,2668.14,6,1
2023-07-05,S006,P040,Personal Care,196.65,20,157.32,1,1
2023-07-05,S006,P050,Wellness,422.39,0,1267.17,3,0
2023-07-05,S007,P013,OTC,411.34,20,2961.65,9,1
2023-07-05,S007,P010,Wellness,408.4,10,1102.68,3,1
2023-07-05,S007,P038,Prescription,149.23,0,1044.61,7,0
2023-07-05,S007,P009,Medical Devices,113.54,10,613.12,6,1
2023-07-05,S007,P007,Prescription,252.63,5,2879.98,12,1
2023-07-05,S007,P037,OTC,138.51,0,831.06,6,0
2023-07-05,S007,P004,Personal Care,410.42,0,1641.68,4,0
2023-07-05,S007,P028,Prescription,192.25,0,576.75,3,0
2023-07-05,S008,P015,Wellness,152.14,10,1095.41,8,1
2023-07-05,S008,P006,OTC,243.89,0,1951.12,8,0
2023-07-05,S008,P043,OTC,73.07,5,485.92,7,1
2023-07-05,S008,P022,Prescription,318.4,5,604.96,2,1
2023-07-05,S008,P045,Wellness,371.81,20,2082.14,7,1
2023-07-05,S008,P012,Wellness,242.94,0,485.88,2,0
2023-07-05,S008,P003,OTC,427.59,5,3249.68,8,1
2023-07-05,S008,P007,Medical Devices,453.83,0,3630.64,8,0
2023-07-05,S009,P019,Medical Devices,327.74,20,2359.73,9,1
2023-07-05,S009,P040,Personal Care,111.37,10,801.86,8,1
2023-07-05,S009,P044,Wellness,465.19,5,1325.79,3,1
2023-07-05,S009,P028,Wellness,433.5,0,867.0,2,0
2023-07-05,S009,P016,Personal Care,88.43,20,353.72,5,1
2023-07-05,S009,P049,OTC,255.57,15,1086.17,5,1
2023-07-05,S009,P004,Prescription,231.04,5,1097.44,5,1
2023-07-05,S009,P030,Medical Devices,67.97,5,258.29,4,1
2023-07-05,S010,P032,Wellness,410.92,0,1643.68,4,0
2023-07-05,S010,P027,Prescription,264.35,10,951.66,4,1
2023-07-05,S010,P020,Wellness,151.61,10,272.9,2,1
2023-07-05,S010,P039,Medical Devices,249.27,15,1483.16,7,1
2023-07-05,S010,P049,Prescription,417.49,15,1774.33,5,1
2023-07-05,S010,P009,Prescription,388.14,20,2484.1,8,1
2023-07-05,S010,P015,OTC,156.01,0,780.05,5,0
2023-07-05,S010,P007,Wellness,489.48,0,2936.88,6,0
2023-07-06,S001,P039,Medical Devices,438.96,5,2502.07,6,1
2023-07-06,S001,P047,OTC,100.02,0,400.08,4,0
2023-07-06,S001,P036,Wellness,190.12,5,1444.91,8,1
2023-07-06,S001,P011,OTC,124.78,0,1123.02,9,0
2023-07-06,S001,P018,OTC,374.21,0,748.42,2,0
2023-07-06,S001,P030,Medical Devices,58.75,0,293.75,5,0
2023-07-06,S001,P044,OTC,305.79,10,1926.48,7,1
2023-07-06,S001,P019,Wellness,253.77,0,1015.08,4,0
2023-07-06,S002,P008,Wellness,93.64,0,187.28,2,0
2023-07-06,S002,P050,Medical Devices,152.27,5,1012.6,7,1
2023-07-06,S002,P011,Wellness,157.84,0,789.2,5,0
2023-07-06,S002,P026,Medical Devices,277.03,0,277.03,1,0
2023-07-06,S002,P012,Wellness,280.79,15,1193.36,5,1
2023-07-06,S002,P037,Prescription,217.42,0,1521.94,7,0
2023-07-06,S002,P036,Wellness,426.85,0,1280.55,3,0
2023-07-06,S002,P016,Wellness,153.64,0,460.92,3,0
2023-07-06,S003,P021,Prescription,53.33,5,253.32,5,1
2023-07-06,S003,P023,Personal Care,170.06,5,969.34,6,1
2023-07-06,S003,P025,OTC,496.82,10,1788.55,4,1
2023-07-06,S003,P011,Personal Care,182.26,5,1212.03,7,1
2023-07-06,S003,P046,Medical Devices,50.93,0,305.58,6,0
